"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1854150491992969688","Wed Nov 06 14:03:55 +0000 2024","2","@KompasTV gak usah sudah dipegang fufufafa https://t.co/wcTkiV4G9s","1854162802757500952","","KompasTV","in","","0","1","0","https://x.com/zola_papazola2/status/1854162802757500952","1603755870391013377","zola_papazola2"
"1854162681642836290","Wed Nov 06 14:03:26 +0000 2024","1","Produk politik Malaysia menghasilkan pemimpin revolusioner dan orator kancahinternasional Produk politik Indonesia menghasilkan fufufafa yg tidak berani bicara bahkan untuk menjawab pertanyaan wartawan","1854162681642836290","","","in","Indonesia ","0","0","0","https://x.com/daeng_embang/status/1854162681642836290","1450771917393170434","daeng_embang"
"1854125636283195611","Wed Nov 06 14:03:00 +0000 2024","1","@yaniarsim fufufafa kagak bakalan berani KETEMU Mahasiswa. hahahahahaha","1854162569931686329","","yaniarsim","in","","0","0","0","https://x.com/jumjumareka/status/1854162569931686329","872509886126407681","jumjumareka"
"1853686813120163910","Wed Nov 06 14:02:07 +0000 2024","1","@prastow @ivanmust @BudiBukanIntel Mantab Pak selepas Bapak ga menjabat memang jadi kacau balau saya berharap harusnya Bapak tetap menjabat sampai rakyat benar2 merasakan manfaat pajak yg dibayarkan.","1854162350896800133","","prastow","in","","0","0","0","https://x.com/Eric29King/status/1854162350896800133","1284626125914685440","Eric29King"
"1854060859414470990","Wed Nov 06 14:01:28 +0000 2024","6","@yusuf_dumdum Gaungkan terus isu FUFUFAFA","1854162187692146760","","yusuf_dumdum","in","Makassar, Indonesia","0","0","0","https://x.com/ruly_anggra04/status/1854162187692146760","542385759","ruly_anggra04"
"1853650119687868719","Wed Nov 06 14:01:04 +0000 2024","0","@shirly4461 @Gerindra @kemendagri Y mang pendukung fufufafa bahlul... Bela mati2an tp GK mau disamakan awokwokwok.....","1854162084499763700","","Bramakumba123","in","Jakarta Barat, DKI Jakarta","0","1","0","https://x.com/Bramakumba123/status/1854162084499763700","1670123623972216834","Bramakumba123"
"1854103942059434321","Wed Nov 06 14:00:35 +0000 2024","0","@Franken_blues @gibran_tweet @Dennysiregar7 Iya emang keren fufufafa bin @jokowi ini....","1854161963036913742","","Franken_blues","in","","0","0","0","https://x.com/abujibril/status/1854161963036913742","72155950","abujibril"
"1854138028891250822","Wed Nov 06 14:00:21 +0000 2024","2","@PerkasaHabsyah Pembela fufufafa kenapa namanya aneh aneh ya. Takarok mutsvana...generasi baru gemg solo","1854161903230337335","","PerkasaHabsyah","in","","0","0","4","https://x.com/rhdynwsono/status/1854161903230337335","1759170869732192256","rhdynwsono"
"1853982543550521571","Wed Nov 06 14:00:16 +0000 2024","0","@JhonSitorus_18 Fufufafa ya","1854161885551378779","","JhonSitorus_18","in","","0","0","0","https://x.com/bg_jun_/status/1854161885551378779","1771431418511679489","bg_jun_"
"1854161874574803193","Wed Nov 06 14:00:14 +0000 2024","1","Setuju nih. Ungkap kalo perlu tangkap saja pemilik akun fufufafa sudah menghina presiden Prabowo sekaligus mencoreng martabat wapres Gibran... sampe kapan sih mau didiemin","1854161874574803193","","","in","Brebes jateng","0","0","0","https://x.com/wicax87/status/1854161874574803193","71984483","wicax87"
